label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
default,0.0,0.0,0.0,-0.24253593243287305,-0.11396840891045591,-0.03993551455779179,-0.4599744349417838,-0.4060928488815537,-0.042619539757153393,-0.6001759364951209,-0.6091683539270192,-0.05224049973628435,-0.7223366121696643,-0.7131276093386678,-0.06452625156708645,-0.2672353487075907,-0.9320440142201827,0.035468058712773864,-0.33736735028332754,-1.2651067839512924,0.006856763221379559,-0.3855306911723759,-1.4680813749580996,-0.036182607589690406,-0.4248839109574243,-1.641862945207496,-0.07715263236043261,-0.13812310639585837,-0.9904113920633391,0.0009893720772492,-0.17076000861448176,-1.3926479140418107,-0.0237008838154689,-0.19611547465019538,-1.6380238713497328,-0.06350999701205541,-0.22161352245665805,-1.8323989586170941,-0.09924112846802752,-0.014915745971965568,-0.9689210422179456,-0.05006311319673091,-0.025562502579540992,-1.3706030795323931,-0.08834826503593193,-0.04732000335308064,-1.6118708588794641,-0.13361717020771652,-0.07770706505822568,-1.8212617380796972,-0.17299050498192214,0.10827924434396272,-0.8870248509485044,-0.10908690023932742,0.1462355100067713,-1.1902831476557105,-0.15696744445512306,0.14831737747525764,-1.404395935787386,-0.19158995245777635,0.13190202718689045,-1.6065651676598711,-0.22171002599935366
default,0.0,0.0,0.0,-0.2429037999975203,-0.11432925559650019,-0.039834024109311625,-0.45961792053045714,-0.40910042831722065,-0.04140193776109878,-0.598869700588139,-0.6137275055449202,-0.050164079976418,-0.7219487526765997,-0.7205949638749874,-0.06134765313627305,-0.2661025507143555,-0.9319147734236009,0.040007427839971674,-0.3350432955044655,-1.264391406951505,0.01273424745702085,-0.38328681336015813,-1.4670573902808626,-0.030158016778461354,-0.4232289026269102,-1.640944450928439,-0.07136861470171219,-0.13645409461922564,-0.990642717881291,0.005604186799948527,-0.16876611295134117,-1.391740701920689,-0.018164923444125746,-0.19435109284696062,-1.6370010932186583,-0.05821946600005347,-0.2206256690912442,-1.831186626488838,-0.09419118556214111,-0.012700210839439998,-0.9699198699238439,-0.045711233024779564,-0.023711388304743296,-1.3731780536083489,-0.08379978444365453,-0.045332057704799325,-1.615474982763767,-0.129587063132316,-0.0764982952019336,-1.8271127752634568,-0.16925527343360958,0.1122053162127998,-0.8894338144764553,-0.10505675880784839,0.15031984487920372,-1.1948924278375868,-0.15311117912889718,0.15124762989111862,-1.409096773750181,-0.18821792453981834,0.13274208606231072,-1.611591877883569,-0.21869048098069743
default,0.0,0.0,0.0,-0.24493017219203225,-0.11036772570325727,-0.037844556814048226,-0.46214032185459064,-0.406069975171531,-0.0365588742616689,-0.5998664394173885,-0.6102231942913214,-0.04244552654227042,-0.7206708479744798,-0.7126604571409608,-0.05095183940495624,-0.26787189157524066,-0.931113617208341,0.041864245579734644,-0.3378099599667505,-1.263337306405912,0.016162163591399235,-0.38545572381174903,-1.4669832652076067,-0.025167050011807166,-0.42407396983986667,-1.6404574975745985,-0.06507760305802965,-0.13786360237605177,-0.9904475449403,0.007528893114578623,-0.17183712055040182,-1.3919454441854462,-0.014517510381844928,-0.19703289584506214,-1.637671095253533,-0.05280302123870748,-0.22155188965773326,-1.8306530760085498,-0.08746111618079035,-0.013326253083739322,-0.9709692265557438,-0.04356184064641064,-0.025760918239505017,-1.3725710538943214,-0.0799310737733571,-0.04741531931598996,-1.613574112486916,-0.1246695387977997,-0.07703862686686039,-1.8231141082195295,-0.16366746987989758,0.11169978630307754,-0.891776888143503,-0.10259468776861792,0.14659638576704706,-1.1968056251686956,-0.14973795602394224,0.1477655496686992,-1.4097922978389492,-0.18449712497355725,0.13084036553343173,-1.6099024209102062,-0.21469745335351376
default,0.0,0.0,0.0,-0.24370731367423945,-0.11201810044536561,-0.03808280706106751,-0.460431373200438,-0.40434893628480495,-0.03828551741514999,-0.5967464486687869,-0.6072236765594924,-0.04555474115443513,-0.7135830650127503,-0.7145709042603734,-0.05516203775085742,-0.2637219849017813,-0.932307156544152,0.03974537085764795,-0.33223775841857933,-1.2640678470980415,0.01266034788303493,-0.3790201987194549,-1.4663922415361157,-0.029780736966681813,-0.41752092354064224,-1.6397421562240997,-0.07022041296131956,-0.13336373448045782,-0.991063478387811,0.005328416318821758,-0.16540751753229227,-1.3925426144546695,-0.01795737968521625,-0.18995302882206697,-1.6379114028573019,-0.056563754163995235,-0.21495908238048925,-1.8314304813516162,-0.09116851535773896,-0.008874027632566422,-0.970976181514505,-0.04575863045214972,-0.019853546666131122,-1.3707570951459824,-0.08279932701709256,-0.040703412819959664,-1.6129594923701227,-0.12676252237738742,-0.07043469963616295,-1.823986787544906,-0.16509449857517422,0.11549956515892375,-0.8906048149318566,-0.10478793720345522,0.15264997482982715,-1.1932651267868617,-0.15203128670644311,0.15446996481499245,-1.4065231599852783,-0.1857501346149945,0.1373611891862259,-1.6078764582138245,-0.2149827044920878
default,0.0,0.0,0.0,-0.24534707542274556,-0.10984254220885374,-0.0381909117386524,-0.4594479556482771,-0.40645553691719427,-0.03620383076667256,-0.5912878210091852,-0.6113569417437665,-0.041173095460343465,-0.707641837786258,-0.7146279967923067,-0.048503744618800394,-0.2667148079877014,-0.932470672967521,0.04318208399120351,-0.3348501152546577,-1.263238307070083,0.017731460666545688,-0.38150416433117995,-1.467138888181204,-0.02381423654508599,-0.41985827693428757,-1.6398080064281881,-0.0635011886025904,-0.13646451803544493,-0.9906412901233254,0.009797346946635385,-0.1699485112967127,-1.3905840525605584,-0.012222428457058501,-0.19545819597596614,-1.6354150630216837,-0.051107444141952174,-0.22064203611186234,-1.8278983026498374,-0.08565504956396493,-0.011669957664851887,-0.9708057201984109,-0.04029241879580678,-0.022217874844300118,-1.3718174433915777,-0.07671297023069207,-0.04307669196221732,-1.6136131599348609,-0.12196530145641953,-0.07202312663567004,-1.8233534862214622,-0.1607445799844305,0.11300479417350942,-0.8912168905716652,-0.0982124001040211,0.14979077991171041,-1.1955926332259905,-0.1442999381648058,0.15315690136792137,-1.407501537276378,-0.17800231659874918,0.13883122401392525,-1.6067416098140754,-0.20706707032222912
default,0.0,0.0,0.0,-0.24256569301400652,-0.11152988944514455,-0.03604565294281897,-0.4564764107717005,-0.4048809510538557,-0.03395972905756731,-0.5886927871373521,-0.6074080523248847,-0.03914355953599572,-0.706395354916525,-0.7114861835586374,-0.046764906948637344,-0.26462631050365876,-0.9332318866350433,0.044634464489190964,-0.3332148896933899,-1.2622068674020674,0.019987914620806894,-0.3796719954232316,-1.4636284643203845,-0.02101591588460072,-0.4177482224295144,-1.6357195779978397,-0.060471773641216926,-0.1345699611087481,-0.9909004374848452,0.009995420364594998,-0.16766855620585883,-1.3891140145588081,-0.0107751767983068,-0.1923994500616805,-1.631514881032293,-0.04821664424737938,-0.2173040274543034,-1.8226058719118776,-0.08197577076940019,-0.010041673538145864,-0.9700484759509181,-0.04132391641854777,-0.02073617250939294,-1.3657198790683176,-0.07672296440721607,-0.041271874468846136,-1.6056286892227238,-0.12044360257536835,-0.07059069239753464,-1.8150913586414799,-0.15853487027350416,0.11351212841739364,-0.8892718057831689,-0.10044774534037576,0.14876859024225023,-1.190999749665898,-0.14584914031854115,0.1517281231454556,-1.4004368202051627,-0.17858999917567317,0.1361257681137762,-1.5985587539607053,-0.20724005987917204
default,0.0,0.0,0.0,-0.2451034879861796,-0.11389085940328718,-0.034587980603556424,-0.45627658263043,-0.40838277525243605,-0.031386896316711405,-0.5876970136273938,-0.6100399897343155,-0.03600167153558799,-0.7051572741223313,-0.7161180405810861,-0.043323152258886284,-0.2593339529914204,-0.9345272434297945,0.04772157106238267,-0.3284716109084644,-1.2652531104950684,0.024930336861989262,-0.37527818567672805,-1.4664932064995873,-0.01480079444386784,-0.4137246595783663,-1.638087941980538,-0.05360692896884597,-0.12937203113380247,-0.9915924676552628,0.012274969996044915,-0.16104470854928093,-1.392186544620869,-0.0067056949538807364,-0.18546376267649314,-1.6347521834574663,-0.043764158012968596,-0.2100235861809795,-1.825151307527055,-0.07758596729559387,-0.005420810320868896,-0.9696378506905597,-0.039907423728357275,-0.0165950013193619,-1.3684815004533484,-0.07411025703612027,-0.03789939782713194,-1.6082222373779496,-0.1183278767216064,-0.06740215097080383,-1.8179659065714,-0.15713290979648392,0.11728381224323906,-0.8884143524745807,-0.09981594002808417,0.1525533526718945,-1.1915981827225013,-0.14513760464140052,0.1545848861580552,-1.4020205073546228,-0.1787665655533448,0.13893288830150832,-1.6012012835980505,-0.20827794109166922
default,0.0,0.0,0.0,-0.2425004275267722,-0.11441239241013827,-0.039643018461208566,-0.4533653337098064,-0.4085219773388198,-0.04173184774120535,-0.5849975040274674,-0.611977657689378,-0.05076742100157007,-0.706229550502339,-0.7181202571122901,-0.06250961273138107,-0.26092119297144656,-0.9339684072793889,0.03837610468288168,-0.3285681731412184,-1.2619634457234252,0.010283722482081169,-0.37536818974066,-1.4632546234138333,-0.03341354106463532,-0.4143869836475677,-1.6356880365466382,-0.07450942445237706,-0.12928426455441272,-0.991603913814234,0.00413249436143318,-0.15791266709452098,-1.3905747636324486,-0.019311653082434106,-0.18117220332412115,-1.6334728168727186,-0.05928337128603743,-0.205356108495516,-1.8271796923014547,-0.0946994458933901,-0.004298077674376716,-0.9700231215542666,-0.04668504270565109,-0.012065891177768963,-1.3659603586064346,-0.08373716342356285,-0.03136344457050971,-1.6058883845904584,-0.12794850361762866,-0.05946564457543161,-1.8166623461922984,-0.16610167488920288,0.11820503016477371,-0.887366068081164,-0.10551086146804639,0.15401751392612545,-1.188915806488245,-0.15027999419228238,0.15743296416684183,-1.3982313024936899,-0.18125649173822764,0.14323133520240403,-1.5964114401646206,-0.20848958163725298
default,0.0,0.0,0.0,-0.2442686864945594,-0.11605174620619324,-0.03638791257693127,-0.45497795581972733,-0.40912809299668595,-0.03555913493444789,-0.5861273836779409,-0.6107084913091984,-0.042100582130195956,-0.7051635352038165,-0.7132810917144776,-0.05150868681143027,-0.26103206262045286,-0.934534639707178,0.043795310314783585,-0.32621955666537356,-1.2618835155934418,0.017965095761120414,-0.3716703017865583,-1.4636610931933485,-0.02431808017939993,-0.41006607367703846,-1.634905733953308,-0.06435224916434779,-0.12926589515899098,-0.9916063078330987,0.00917381095960312,-0.1575770767919361,-1.3890972535282253,-0.012578463768168631,-0.18172099370479125,-1.631737885917542,-0.051813247283362784,-0.20735970916497934,-1.8237655264223915,-0.08670415193231193,-0.003709090577796025,-0.970546954232316,-0.04193139651494585,-0.010280363439204509,-1.3657061439879778,-0.07795728198836425,-0.02993404396320441,-1.606144274002523,-0.12283854753092259,-0.058929674598141045,-1.8164626459362248,-0.16138862600444098,0.11947680342760024,-0.8893049776707074,-0.10069665476509053,0.15682275515162497,-1.1906868664910555,-0.1455421660135242,0.16031573809573277,-1.3999853791264358,-0.1774508961836042,0.1455520606343177,-1.5971790520638265,-0.20526261283883973
default,0.0,0.0,0.0,-0.24174864620927133,-0.11180940690047673,-0.041626121129779925,-0.45378484990735846,-0.40662844753517147,-0.04490565658004954,-0.5852402743270906,-0.6134341388957418,-0.05474570406806927,-0.7064743922916245,-0.7215311763409445,-0.06737957278265816,-0.2597657980024578,-0.9334057551412661,0.03471426145748167,-0.32667741802671085,-1.263240079397888,0.005754467300050294,-0.3737441979791408,-1.4668481863914244,-0.03858989654564746,-0.4132468021980515,-1.6403811193569204,-0.08026223140391242,-0.12757185874031068,-0.9918256508935439,0.001156606231925971,-0.15914896965478845,-1.3923021283968038,-0.023108860735326576,-0.18370507760791488,-1.6360792432085849,-0.06354548161559956,-0.20922810705574965,-1.8287123017943552,-0.09959153182980475,-0.0012899537600946061,-0.9715909968018069,-0.049012608723885735,-0.011430774061627548,-1.369780144829958,-0.08679942692924095,-0.03170480110961699,-1.6111341913561246,-0.13169777802427834,-0.060942157784031094,-1.822206518981534,-0.17060149456262227,0.12362694955998763,-0.8906743509795082,-0.10729444421114119,0.1580243388049252,-1.1940587498402746,-0.15254955154186328,0.16155376540821947,-1.4041704643451818,-0.18419094261420074,0.14703797882961692,-1.6020055388194685,-0.21216242339644947
default,0.0,0.0,0.0,-0.2383390914244286,-0.1133575077860459,-0.039473872379317196,-0.44622483863069023,-0.40894493912363716,-0.04188276017435139,-0.5739149173642686,-0.6165585544095725,-0.05164262301432868,-0.6927498407990531,-0.7210443877067728,-0.06427437285603736,-0.2550215171568227,-0.9333335858506453,0.03757002361232654,-0.3199586706080201,-1.2635702356795482,0.008350540457472449,-0.36584202512334174,-1.4669012509445671,-0.03640677772836818,-0.4041861082421498,-1.6408834254683662,-0.07843431419207095,-0.12393500600549874,-0.9922866627055958,0.002822753632808368,-0.15203936486985947,-1.3925199026545727,-0.022316608234526854,-0.1763427885179706,-1.6379265991279848,-0.06404657512710414,-0.20233399520229023,-1.8339572191789488,-0.10104363105153187,1.9996914273172377e-05,-0.9721762876796995,-0.04839530481500668,-0.007712505534293211,-1.3731696277288208,-0.08604784043465605,-0.02716450389352164,-1.613370497079411,-0.13152202575198127,-0.056788845600407326,-1.8218953847902406,-0.17073090748880282,0.1223293842040213,-0.8913109399366289,-0.10771266988593606,0.15767306075079812,-1.1959677326492772,-0.15253147399827635,0.15844663703230052,-1.4075784485333267,-0.18489509409366137,0.1399160182339849,-1.6054177025371938,-0.2134620038643314
